id,timestamp,cpu_percent,memory_percent,disk_percent,network_sent,network_recv,process_count
415,2026-07-29T20:58:22.609764,10.4,88.0,85.7,268899764,1875852924,309
416,2026-07-29T20:58:25.633527,47.6,89.1,85.7,268962435,1875975551,315
417,2026-07-29T20:58:28.656204,26.5,89.0,85.7,268973530,1876076190,317
418,2026-07-29T20:58:31.674852,21.9,89.5,85.7,268977852,1876117783,313
419,2026-07-29T20:58:34.691492,42.8,90.5,85.7,268987930,1876118441,314
420,2026-07-29T20:58:37.708476,25.0,90.8,85.7,268994833,1876119270,314
421,2026-07-29T20:58:40.723215,20.8,90.8,85.7,268995371,1876119758,314
422,2026-07-29T20:58:43.737586,25.5,92.5,85.7,268996445,1876120999,314
423,2026-07-29T20:58:46.761694,38.2,92.9,85.7,269014241,1876133501,314
424,2026-07-29T20:58:49.775289,35.4,93.8,85.7,269037380,1876137538,314
425,2026-07-29T20:58:52.790411,24.3,92.2,85.7,269052407,1876152621,313
426,2026-07-29T20:58:55.806166,26.5,92.0,85.7,269053261,1876153823,312
427,2026-07-29T20:58:58.819899,16.3,92.4,85.7,269064177,1876155883,312
428,2026-07-29T20:59:01.838236,25.1,90.3,85.7,269082250,1876165950,312
429,2026-07-29T20:59:04.858478,30.4,90.6,85.7,269082898,1876166870,311
430,2026-07-29T20:59:07.877721,20.0,91.6,85.7,269083279,1876167299,311
431,2026-07-29T20:59:10.892507,31.8,92.2,85.7,269107300,1876176267,310
432,2026-07-29T20:59:13.906880,37.1,93.2,85.7,269128222,1876244783,314
433,2026-07-29T20:59:16.921601,17.5,92.4,85.7,269131940,1876330319,311
434,2026-07-29T20:59:19.941144,25.7,92.8,85.7,269132208,1876336868,312
435,2026-07-29T20:59:22.957280,21.6,92.3,85.7,269148711,1876369234,311
436,2026-07-29T20:59:25.971365,22.6,91.3,85.7,269150843,1876452005,310
437,2026-07-29T20:59:28.980651,15.1,92.2,85.7,269162023,1876504052,312
438,2026-07-29T20:59:32.000574,33.6,92.4,85.7,269162444,1876504574,313
439,2026-07-29T20:59:35.015453,37.8,92.7,85.7,269177430,1876510036,320
440,2026-07-29T20:59:38.032380,27.6,94.1,85.7,269184957,1876511729,325
441,2026-07-29T20:59:41.044850,15.7,91.9,85.7,269203603,1876527678,321
442,2026-07-29T20:59:44.063491,17.8,91.3,85.7,269207610,1876528963,318
443,2026-07-29T20:59:47.085288,11.5,91.5,85.7,269208799,1876530229,318
444,2026-07-29T20:59:50.103187,23.2,91.6,85.7,269218816,1876531423,318
445,2026-07-29T20:59:53.121902,23.1,92.1,85.7,269237451,1876534115,314
446,2026-07-29T20:59:56.173019,22.0,92.7,85.7,269238553,1876535270,315
447,2026-07-29T20:59:59.189751,23.3,92.8,85.7,269240238,1876537397,316
448,2026-07-29T21:00:02.203670,40.1,94.3,85.7,269240537,1876538018,318
449,2026-07-29T21:00:05.224152,24.8,94.2,85.7,269242214,1876539911,316
450,2026-07-29T21:00:08.290434,28.7,93.6,85.7,269248414,1876548072,320
451,2026-07-29T21:00:11.307976,21.0,93.2,85.7,269249198,1876549054,314
452,2026-07-29T21:00:14.322109,37.9,95.3,85.7,269282659,1876660815,318
453,2026-07-29T21:00:17.333800,25.5,89.8,85.7,269288350,1876682415,316
454,2026-07-29T21:00:20.361241,18.9,89.8,85.7,269288738,1876685323,315
455,2026-07-29T21:00:23.379207,28.5,88.1,85.7,269292227,1876691862,316
456,2026-07-29T21:00:26.988041,24.0,89.4,85.7,269301176,1876721613,323
457,2026-07-29T21:00:30.014464,18.3,89.7,85.7,269309835,1876748825,323
